ISSN,Cote,Nommage PDF,Date de publication,Langue,Auteurs,Éditeur,Lieu d'édition,Sujets
0131-8756,8P5911,LC_8P_5876_1972_09.pdf,1972-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5912,LC_8P_5876_1972_10.pdf,1972-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5913,LC_8P_5876_1972_11.pdf,1972-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5914,LC_8P_5876_1972_12.pdf,1972-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5915,LC_8P_5876_1973_01.pdf,1973-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5916,LC_8P_5876_1973_02.pdf,1973-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5917,LC_8P_5876_1973_03.pdf,1973-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5918,LC_8P_5876_1973_04.pdf,1973-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5919,LC_8P_5876_1973_05.pdf,1973-05-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5920,LC_8P_5876_1973_06.pdf,1973-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5921,LC_8P_5876_1973_07.pdf,1973-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5922,LC_8P_5876_1973_08.pdf,1973-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5923,LC_8P_5876_1973_09.pdf,1973-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5924,LC_8P_5876_1973_10.pdf,1973-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5925,LC_8P_5876_1973_11.pdf,1973-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5926,LC_8P_5876_1973_12.pdf,1973-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5927,LC_8P_5876_1974_01.pdf,1974-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5928,LC_8P_5876_1974_02.pdf,1974-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5929,LC_8P_5876_1974_03.pdf,1974-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5930,LC_8P_5876_1974_04.pdf,1974-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5931,LC_8P_5876_1974_05.pdf,1974-05-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5932,LC_8P_5876_1974_06.pdf,1974-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5933,LC_8P_5876_1974_07.pdf,1974-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5934,LC_8P_5876_1974_08.pdf,1974-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5935,LC_8P_5876_1974_09.pdf,1974-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
